Kicker 1,Kicker 1,Kicker 1,,Kicker 2,Kicker 2,Kicker 2,Kicker 2,Kicker 2,Kicker 2
,,,,,,,,,
(s),(Degs/s),(Degs/s),,(s),(degrees)                ,(degrees)                ,(s),(Degs/s),(Degs/s)
TIME,Thigh Ang Vel,Shank Ang Vel,,TIME,Thigh Angle,Shank Angle,TIME,Thigh Ang Vel,Shank Ang Vel
0,,,,0,-14.401,-37.12,0,,
0.003,-169.0,-4.0,,0.003,-14.838,-37.283,0.003,,-66.2
0.005,-216.5,-3.3,,0.005,-15.281,-37.451,0.005,,-85.5
0.007,-177.0,-1.8,,0.007,-15.732,-37.625,0.007,,-71
0.01,-150.2,-1.3,,0.01,-16.189,-37.806,0.01,,-61.7
0.013,-182.8,-1.8,,0.013,-16.653,-37.995,0.013,,-76.8
0.015,-185.4,-2.2,,0.015,-17.122,-38.19,0.015,,-79.8
0.018,-187.8,-3.0,,0.018,-17.596,-38.394,0.018,,-83.4
0.02,-237.5,-4.5,,0.02,-18.075,-38.607,0.02,,-108.5
0.022,-192.4,-4.0,,0.022,-18.557,-38.828,0.022,,-90.6
0.025,-194.6,-4.0,,0.025,-19.041,-39.06,0.025,,-94.8
0.027,-196.4,-3.6,,0.027,-19.528,-39.302,0.027,,-99
0.03,-197.8,-3.2,,0.03,-20.017,-39.555,0.03,,-103.8
0.032,-199.0,-2.4,,0.032,-20.507,-39.821,0.032,,-109
0.035,-199.6,-1.6,,0.035,-20.997,-40.1,0.035,,-114.4
0.037,-199.8,-1.2,,0.037,-21.485,-40.393,0.037,,-120.2
0.04,-166.2,-0.7,,0.04,-21.97,-40.701,0.04,,-105.5
0.043,-198.4,-0.6,,0.043,-22.45,-41.026,0.043,,-133
0.045,-196.8,-1.2,,0.045,-22.922,-41.366,0.045,,-139.4
0.048,-194.2,-2.0,,0.048,-23.386,-41.723,0.048,,-146.2
0.05,-190.8,-3.8,,0.05,-23.84,-42.097,0.05,,-152.6
0.053,-186.0,-7.0,,0.053,-24.284,-42.486,0.053,,-158.8
0.055,-180.0,-11.6,,0.055,-24.715,-42.891,0.055,,-164.8
0.058,-172.6,-18.0,,0.058,-25.132,-43.31,0.058,,-170.4
0.06,-163.4,-26.2,,0.06,-25.529,-43.743,0.06,,-176
0.063,-152.8,-36.6,,0.063,-25.902,-44.19,0.063,,-181.2
